128,6
X1,X2,X3,X4,X5,X6,ln
0.91700000000000004,-2.6000000000000001,-2.0,2.0,4.0,0.94299999999999995,-14.0
0.91000000000000003,-2.6000000000000001,-1.96,2.0,3.7999999999999998,0.91800000000000004,-8.0399999999999991
0.90700000000000003,-2.6000000000000001,-1.9399999999999999,2.0,3.7000000000000002,0.90500000000000003,-7.21
0.90400000000000003,-2.6000000000000001,-1.9199999999999999,2.0,3.6000000000000001,0.89200000000000002,-7.1399999999999997
0.90000000000000002,-2.6000000000000001,-1.8999999999999999,2.0,3.5,0.88,-4.9500000000000002
0.89700000000000002,-2.6000000000000001,-1.8799999999999999,2.0,3.3999999999999999,0.86699999999999999,-5.6399999999999997
0.89400000000000002,-2.6000000000000001,-1.8600000000000001,2.0,3.2999999999999998,0.85499999999999998,-6.1699999999999999
0.89000000000000001,-2.6000000000000001,-1.8400000000000001,2.0,3.2000000000000002,0.84199999999999997,-6.3099999999999996
0.88700000000000001,-2.6000000000000001,-1.8200000000000001,2.0,3.1000000000000001,0.82999999999999996,-5.6399999999999997
0.83699999999999997,-2.2999999999999998,-1.8999999999999999,3.0,3.0,0.94099999999999995,-12.369999999999999
0.83499999999999996,-2.2999999999999998,-1.9199999999999999,3.0,2.9500000000000002,0.94799999999999995,-3.6200000000000001
0.83299999999999996,-2.2999999999999998,-1.9399999999999999,3.0,2.8999999999999999,0.95599999999999996,-2.9900000000000002
0.82999999999999996,-2.2999999999999998,-1.96,3.0,2.8500000000000001,0.96299999999999997,-4.8099999999999996
0.82599999999999996,-2.2999999999999998,-2.0,3.0,2.75,0.97799999999999998,-3.27
0.83099999999999996,-2.3100000000000001,-1.96,2.9300000000000002,2.8500000000000001,0.96299999999999997,-2.8999999999999999
0.83499999999999996,-2.3100000000000001,-1.96,2.9300000000000002,2.8500000000000001,0.96299999999999997,-2.6699999999999999
0.874,-2.3199999999999998,-2.0,2.8999999999999999,3.0,1.034,-4.1399999999999997
0.84599999999999997,-2.5,-1.8999999999999999,2.0,4.0,0.94799999999999995,-8.5199999999999996
0.84399999999999997,-2.5,-1.9199999999999999,2.0,3.8999999999999999,0.95499999999999996,-5.2999999999999998
0.86099999999999999,-2.5,-1.95,2.0,3.5,0.98999999999999999,-5.8099999999999996
0.84899999999999998,-2.5,-1.9099999999999999,2.0,3.8999999999999999,0.95599999999999996,-5.1200000000000001
0.84299999999999997,-2.5,-1.9199999999999999,2.0,3.9500000000000002,0.95199999999999996,-4.1399999999999997
0.84099999999999997,-2.5,-1.9299999999999999,2.0,3.8999999999999999,0.95599999999999996,-3.8199999999999998
0.83799999999999997,-2.5,-1.95,2.0,3.8500000000000001,0.95999999999999996,-4.0700000000000003
0.83199999999999996,-2.5,-1.98,2.0,3.75,0.96799999999999997,-3.9100000000000001
0.84599999999999997,-2.5,-1.8999999999999999,2.0,3.8999999999999999,0.94699999999999995,-5.5999999999999996
0.84499999999999997,-2.5,-1.8999999999999999,2.0,3.8500000000000001,0.94699999999999995,-5.4699999999999998
